"Restaurant_Name","Rating","Category","Address"
"Wendy's (10365 111th Street)","4.7","Fast food","10365 111th Street, Edmonton, AB T5K 2V3"
"McDonald's (Garneau)","4.6","Burgers","8415 109th Street, Edmonton, AB T6E"
"Subway (230 10111 104 Ave)","New","American","10111 104 Ave Nw, Edmonton, AB T5J 4X1"
"Burger King (13338-137 Avenue)","4.3","American","13338-137 Avenue, Edmonton, AB T5L 2A9"
"7-Eleven (11528 - 107 Avenue)","4.9","Bakery","11528 - 107 Avenue, Edmonton, AB T5H"
"A&W (82nd Ave Edm & 101 Street)","4.6","Fast food","8115 101 St Nw, Edmonton, AB T6E 1Z2"
"Starbucks (10001 107th Street)","4.6","Bakery","10001 107th Street, Edmonton, AB T5J 1J1"
"Harvey's (109 St & 104 Ave)","4.6","Burgers","10358 109 St Nw, Edmonton, AB T5J"
"Denny's (10803-104 Ave NW)","4.2","Breakfast and brunch","10803-104 Ave Nw, Edmonton, AB T5J 4Z5"
"Ricky's All Day Grill (Jasper Ave)","4.6","Breakfast and brunch","10140 109 Street, Edmonton, AB T5J 1M7"
"Tim Hortons (Unit # 240 - 10111 104 Avenue Unit 240)","4.4","Bakery","Unit # 240 - 10111 104 Avenue , Unit 240, Edmonton, AB T5J"
"Cora Breakfast and Lunch (10041 106 th Street NW)","4.6","Breakfast and brunch","10041 106 Th Street Nw, Edmonton, AB T5J"
"A&W (PC 137th)","4.4","Fast food","5011 137th Avenue Ne, Edmonton, AB T5A"
"Walmart (5004 98 Ave NW)","New","Grocery","5004 98 Ave Nw, Edmonton, NAMER T6A 0A1"
"IHOP (3921 Calgary Trail)","4.4","Burgers","3921 Calgary Trail, Edmonton, AB T6H 4J8"
"IHOP (15130 127Th St)","4.4","Breakfast and brunch","15130 127th St, Edmonton, AB T6V"
"Watts Cookin","New","Comfort food","12116 107 St Nw, Edmonton, AB T5G"
"Second Cup (7477 - 101st Avenue NW)","New","Coffee & tea","101st Avenue Nw, 7477, Edmonton, AB T6A 3Z5"
"Tantalizers African Express","4.1","African","12424 118 Ave Nw, Edmonton, AB T5L 2K4"
"Langano Skies Ethiopian Restaurant","4.5","Ethiopian","9906 72 Ave Nw, Edmonton, AB T6E 0Z3"
"Booster Juice (7436 68 Ave)","4.7","Sandwich","7436 68 Avenue Northwest, Edmonton, NAMER T6E"
"CoCo Fresh Tea & Juice (Tamarack)","4.9","Bubble tea","885 Tamarack Way Northwest, Edmonton, T6t 0n3,"
"CoCo Fresh Tea & Juice - Windermere","4.7","asian","1307 Windermere Way Southwest, Edmonton, NAMER T6W 0P1"
"Crave Cupcakes","5.0","Desserts","7929 104 St Nw, Edmonton, AB T6E 4C9"
"Taste Blends","4.8","Indian","9332 34 Avenue Northwest, Edmonton, AB T6E 5X8"
"Teacup2Go","4.4","Bubble tea","2960 Ellwood Drive Sw, Edmonton, NAMER T6X"
"Fine Pizza & Donair","4.1","Halal","14062 127 Street Northwest, Edmonton, AB T6V 1K4"
"Pho Hoan Pasteur (West Link)","4.8","Vietnamese","16948 107 Ave Nw, Edmonton, AB T5P 4C3"
"Heeretea 東喜茶 Edmonton","4.7","Asian","11116 - 82 Avenue Nw Garneau, Edmonton, AB T6G"
"Sam’s Pizza and Donair","4.7","Pizza","18236 89 Ave Nw, Edmonton, Ab T5T"
"Boba boy (Edmonton)","4.1","Bubble tea","20013 Lessard Road Northwest Edmonton, Ab T6m 0k4 Canada,"
"Palabok House","4.7","Filipino","10525 51 Avenue Northwest, Edmonton, AB T6H 0K5"
"Swagat India Bistro & Bar","4.7","Asian fusion","9737 118 Ave Nw, Edmonton, T5G"
"Urban Plant Cafe","4.9","Korean","18a 9261 34 Ave Nw, Edmonton, AB T6E"
"Mikado Restaurant (Westside)","4.8","Japanese","9942 170 Street Northwest, Edmonton, AB T5T"
"Menchie's Frozen Yogurt (Garneau)","4.6","Desserts","8705 109 St Nw, Edmonton, Alberta T6G 2L5"
"Pizza Unlimited & Fried Chicken","4.6","Pizza","2386 23 Ave Nw, Edmonton, AB T6T 0R1"
"Kingdom of Spices","4.5","Indian","4547 118 Avenue Northwest, Edmonton, AB T5W 1A8"
"Garlic & Greens","4.0","Indian","5611 23 Avenue Northwest, Edmonton, AB T6L 7B9"
"Nosh Cafe (North)","4.8","Indian","15945 97 Street Northwest , Edmonton, AB T5X 0C7"
"Rosso Pizzeria","4.7","Pizza","8738 109 Street Northwest, Edmonton, AB T6G 1E9"
"YiFang Taiwan Fruit Tea 一芳台灣水果茶 (WEM)","5.0","Bubble tea","2580-8882 170 St Nw, Edmonton, AB T5T 4M2"
"Seoul Fried Chicken (Whyte Ave)","4.8","Korean","7904b 104 Street Northwest, Edmonton, AB T6J 4C8"
"Song Tea 丧茶 (South)","New","Bubble tea","3354a Gateway Boulevard Northwest Edmonton, Ab T6j 6v1,"
"Dil-E-Punjab Sweets and Restaurant","4.2","Indian","1531 Mill Woods Road East Nw, Edmonton, AB T6L"
"The Buckingham","4.6","Burgers","10439 82 Avenue Northwest, Edmonton, AB T6E 2A1"
"Oodle Noodle (Terwillegar)","4.8","Asian fusion","2305 Rabbit Hill Rd Nw #3, Edmonton, AB T6R 3L6"
"Shoyu Sushi","4.7","Japanese","10011 109 Street Northwest Edmonton, Ab T5j,"
"Remedy Cafe (Whyte Ave)","4.8","Indian","10479 82 Avenue Northwest, Edmonton, AB T6E"
"Tokyo Express (Oliver Square)","4.8","Sushi","11436 104 Ave Nw , Edmonton, AB T5H"
"New Streets Of India","4.0","Burgers","1764 34 Avenue, Edmonton, NAMER T6T"
"Phobulous","4.7","Vietnamese","8701 109 St Nw, Edmonton, Ab T6G 2L5"
"Pho Hoan Pasteur (Edmonton)","4.8","Vietnamese","6566 28 Ave Nw, Edmonton, AB T6L"
"Tapsilog Filipino Cuisine","4.7","Filipino","10617 51 Ave Nw A Edmonton AB T6H"
"Good Buddy Chinese Restaurant (South)","4.6","Chinese","2059 111 Street Northwest Edmonton, Ab T6j 4v9,"
"Chicko Chicken Edmonton (southgate)","4.7","Korean","10633 51 Avenue Northwest, Edmonton, AB T6H 0K8"
"New Everest Indian Multi Kitchen & Bar","4.7","Indian","10540 82 Ave Nw, Edmonton, AB T6E 2A4"
"Padmanadi  (Southside)","5.0","Vegetarian","106 6925 Gateway Boulevard Northwest, Edmonton, AB T6H 2J1"
"Million Thai Restaurant","4.4","Thai","4109 118 Avenue Northwest, Edmonton, NAMER T5W 1A3"
"Chettinad Aachy's","4.4","Indian","15525 Stony Plain Road Northwest, Edmonton, AB T5P"
"Doughnut Party (Brewery)","4.8","Bakery","11980 104 Ave Nw, Edmonton, Ab T5K 0G6"
"Dagu Happy Cup 大鼓奶茶","4.9","Asian","10408 Jasper Avenue Northwest, Edmonton, AB T5J"
"Masala Tree","4.4","Indian","2714 141 Street Southwest Edmonton, AB T6W"
"Lovely Pizza & Indian Cuisine","4.2","Pizza","16615 50 Street Northwest, Edmonton, T5Y"
"Mudpot Restaurant","4.2","Indian","23 Ave Nw #2382, Edmonton, AB T6T 0R1"
"Siam Thai Kitchen","4.6","Thai","15883 116 Avenue Northwest , Edmonton, AB T5M"
"Cosmic Pizza and Donair (Downtown)","4.7","Pizza","10412 102 Ave, Edmonton, AB T5J 0B4"
"Cinnaholic Bakery (Whyte Ave)","4.7","Desserts","10345 82 Ave Nw Unit 101, Edmonton, AB T6E"
"PrimeTime Donair & Poutine - Ermineskin","4.8","Burgers","3004b 106 St, Edmonton, AB T6J 5M5"
"Smokin' Barrels Cocina Latina","4.4","Mexican","13119 156 St Nw, Edmonton, AB T5V 1V2"
"Lemongrass Cafe","4.7","Vietnamese","10417 51 Avenue, Edmonton, AB T6H 0K4"
"Tasty Indian Restaurant & Meat Shop","4.4","Indian","12916 127 St Nw, Edmonton, AB T5L 1A9"
"TasteBuds Hyderabadi Indian Fusion","4.5","Indian","5641 Riverbend Road Northwest, Edmonton, AB T6H"
"Checkers Pizza & Kabab (Whyte Ave.)","4.7","Pizza","10658 82 Avenue Northwest, Edmonton, NAMER T6E"
"Y-Not Indian Bar & Bistro","4.2","Indian","3311 34 Street Northwest, Edmonton, AB T6T 2K6"
"New Gurkha Indian Restaurant & Bar","4.4","Indian","4005 Gateway Blvd Nw, Edmonton, AB T6J"
"Kathmandu rasoi Ltd","4.7","Indian","17759 98a Ave Nw, Edmonton, AB T5T 5W8"
"Soban Sushi & Asian Taste","4.8","Sushi","7450 82 Avenue Northwest, Edmonton, AB T6B 0G2"
"Royal Sweets & Restaurant","4.2","Indian","5065 22 Avenue Southwest, Edmonton, AB T6X"
"Raja Foods","4.4","Indian","5173 55 Ave Nw, Edmonton, AB T6B"
"11584 Burger King (6049 Young Street)","4.6","American","6049 Young Street, Halifax, NS B3K"
"As You Like it Sandwich Bar (Barrington St)","New","Salads","1791 Barrington Street, Halifax, NAMER B3J 3Y8"
"Laurent French Bakery","New","Breakfast and brunch","2063 Gottingen St, Halifax, NS B3K 3"
"McDonald's (Kempt)","4.5","Burgers","3486 Kempt Road, Halifax, NS B3K 4X7"
"Starbucks (Garden Stone)","4.9","Bakery","5554 Kaye Street, Halifax, NS B3K 1Y5"
"Wendy's (3580 Kempt Road)","4.6","Fast food","3580 Kempt Road, Halifax, NS B3K 4X8"
"Subway (3045 Robie St)","4.5","American","3045 Robie St, Halifax, NS B3K 4P6"
"Bobar","4.3","Desserts","6082 Quinpool Rd, Halifax, NS B3L 1A1"
"Booster Juice (6140 Young St)","4.8","Healthy","6140 Young St Halifax NS B3K 0G2"
"HARVEST | Clean Eats","4.7","Healthy","1625 Market St, Halifax, NAMER B3J 2C8"
"Big General Store","4.8","Desserts","6070 South St, Halifax, Nova Scotia B3H"
"Dollarama (Young Kempt Centre)","4.6","Home & Personal Care","6061 Young Street Halifax, Ns B3k 2a3,"
"Omelet Brunch & Munch","4.1","Breakfast and brunch","6386 Quinpool Rd, Halifax, NS B3L 4N2"
"Kempster's Cookhouse & Eatery","4.4","Breakfast and brunch","3644 Kempt Rd, Halifax, NS B3K"
"Tim Horton's (7010 Mumford Road Building B4)","4.6","Bakery","7010 Mumford Road Building B4, Halifax, NS B3L 2H6"
"Rudy's","4.8","Sandwich","1681 Granville St, Halifax, Ns B3J"
"Cafe Taiyaki 52","4.9","Japanese","2009 Brunswick St, Halifax, Ns B3J"
"Lady Hammond Grill","4.5","Sandwiches","6151 Lady Hammond Road Halifax, B3k 2r9 Canada,"
"Bedford Basin Farmers Market","New","American","397 Bedford Highway, Halifax, NS B3M 2L3"
"Julienne's Restaurant and Catering","New","Sandwiches","5595 Fenwick St Halifax NS B3H"
"Xena's Bread and Butter","4.9","Filipino","1996 Brunswick Street, Halifax, NAMER B3J 2G7"
"HARVEST Clean Eats (Bayers Lake)","4.8","Healthy","120 Susie Lake Crescent, 14, Halifax, NAMER B3S 1C7"
"A&W (68 Hogan Court)","4.5","Fast food","68 Hogan Court, Halifax, NS B4b2g2"
"Pür & Simple (Halifax)","4.5","Breakfast and brunch","6140 Young Street, Suite 105, Halifax, NS B3K 0G2"
"Cousin's Restaurant","New","Greek","3545 Robie Street, Halifax, NS B3K"
"The Breakfast Joint","4.8","Breakfast and brunch","6499 Quinpool, Halifax, Nova Scotia B3L"
"Flynn's Dairy Bar & Convenience (Spring Garden)","4.4","Convenience","5994 Spring Garden Rd, Halifax, NS B3H 1Y7"
"East Cup Cafe","New","Coffee & tea","1936 Robie St, Halifax, NS B3H"
"Cabin Coffee","4.2","Coffee & tea","1554 Hollis St, Halifax, NS B3J"
"Kenny's Pizza Bedford","4.4","Pizza","1658 Bedford Highway, NAMER B4A 2X9"
"As You Like It","New","Sandwich","1660 Hollis St., Halifax, Nova Scotia B3J"
"Cora Breakfast and Lunch (277 Lacewood Drive)","4.7","Breakfast and brunch","277 Lacewood Drive, Halifax, NS B3M3Y7"
"The Nook","4.8","Sandwich","2118 Gottingen St., Halifax, NS B3K 0C5"
"Fortune Doughnut","4.9","Desserts","2306 Gottingen, Halifax, NS B3K"
"PG's Cafe","New","Burgers","1266 Hollis Street Halifax, Ns B3j 1b3 Canada,"
"Healthyway Cafe","New","Healthy","6960 Mumford Rd, Halifax, NS B3L"
"The Cake Factory (Spring Garden)","4.6","American","5994 Spring Garden Rd, Halifax, NS B3H 1Y7"
"Second Cup ft. Pinkberry (185 Chain Lake Drive)","4.5","Coffee & tea","185 Chain Lake Drive, Halifax, NS B3S"
"Bluenose II Restaurant","3.8","Seafood","1824 Hollis Street, Halifax, NS B3J 1W4"
"Panada Pizza Dartmouth","New","Pizza","68 Highfield Park Dr, Dartmouth, NAMER B3A"
"Daily Grind Cafe & Bar","New","Coffee & tea","1475 Lower Water Street
Bishop’s Landing, Halifax, NAMER B3J 3Z2"
"Cafe Lara","5.0","Allergy friendly","2347 Agricola Street, Halifax, NS B3K 4B7"
"Fairview Variety Quik-Way","4.9","Convenience","130 Main Ave, Halifax, NS B3M 1B1"
"The Body Shop (Mumford Road)","New","Personal care","Mumford Road, Halifax, NAMER B3L 2H8"
"Showtime Variety","4.8","Convenience","32 Albro Lake Rd, Dartmouth, Nova Scotia B3A 3X8"
"Nena's Breakfast House","4.7","Breakfast and brunch","273 Wyse Rd, Dartmouth, NAMER B3A 1N5"
"HARVEST | Clean Eats","4.9","Healthy","936 Bedford Hwy Bedford, Ns B4A"
"Smokey's Restaurant","4.1","Breakfast and brunch","81 Wright Ave Dartmouth, Nova Scotia B3b 1h4 Canada,"
"The Bread Lounge Bakery","New","Breakfast and brunch","26 Akerley Boulevard Dartmouth, Ns B3b 1e4 Canada,"
"VINTEA Bubble House","New","Asian","644 Portland Street, Dartmouth, NS B2W 6C4"
"Freshii (Dartmouth)","4.5","Bowls","100 Ilsley Ave, Unit A, Dartmouth, B3B"
"The Dill Pickle Sandwich Bar","4.6","Salads","250 Baker Dr, Dartmouth, B2w 6l4,"
"Chatime (Spring Garden)","4.4","Asian","1480 Brenton Street, Halifax, NS B3J 2K7"
"White Alley Bubble Tea","5.0","Bubble tea","1594 Granville Street, Halifax, NS B3J 1X1"
"Fun and Shakes","5.0","Ice Cream & Frozen Yogurt","1365 Hollis St, Halifax, Nova Scotia B3J 1T8"
"Presotea (Chain Lake)","4.8","Asian","201 Chain Lake Drive Halifax, Ns B3s 1c8,"
"Downtown Pizza and Donair","4.3","Pizza","215 Chain Lake Drive Halifax, Ns B3s 1c9, B3T"
"Brothers Punjabi Flavors","4.7","Indian","51 Supreme Ct, Halifax, Ns B3n 0g1,"
"Thai Express  (7001 Mumford Road)","4.7","Thai","7001 Mumford Road Halifax, Ns B3l 4n9,"
"Greco Pizza (Hammonds Plains)","New","Pizza","1210 Hammonds Plains Road, NS B4B 1B4"
"Makhani Indian Restaurant","4.5","Indian","1595 Bedford Highway, NS B4A"
"Cacao 70 (Halifax)","4.4","Desserts","1875 Upper Water St, Halifax, NS B3J"
"BarBurrito: Nova Scotia: Cole Harbour","4.8","Mexican","4 Forest Hills Parkway , Unit 1115A, Dartmouth, NS B2W 5G7"
"FIVE GUYS ARGYLE (NS-1915)","4.7","Burgers","1630 Argyle St, Halifax, NS B3J"
"Pizza Pizza (1565 Argyle St.)","4.6","Chicken Strips","1565 Argyle St., Halifax, NS B3J 2B2"
"Red Chillies Flavours of India","4.3","Comfort food","936 Bedford Hwy, Halifax, NS B4A"
"Beyond Temptation","4.6","Indian","5657 Spring Garden Road Suite 195, Halifax, NS B3J 3R4"
"Beyond Pho Vietnamese Cuisine","4.7","Vietnamese","5518 Spring Garden Road Halifax, Ns B3j 1g5,"
"My Recipe Indian Multi Cuisine Restaurant","4.2","Indian","43 Boland Road, Dartmouth,  B3a 1m9,"
"Classic Pizza","4.7","Pizza","590 Portland Street, Dartmouth, NAMER B2W"
"Happy Sushi Restaurant","4.6","Sushi","75 Peakview Way, Halifax, NS B3M 0G2"
"Fong Sing Restaurant","4.7","Chinese","278 Lacewood Drive, Halifax, NS B3M 3N8"
"Atithi Indian Restaurant","New","Indian","1312 Bedford Highway Bedford, Ns B4A"
"Efty Dishes Restaurant","4.9","African","70 Lacewood Dr, Halifax, NS B3M"
"ZenQ (Halifax)","4.4","Bubble Tea","1065 Barrington St, Halifax, NS B3H 2P8"
"Boston Pizza (Downtown Halifax)","4.5","Italian","1858 Granville Street, Halifax, NS B3J"
"Wild Leek • Vegan Food & Juice Bar","4.8","Vegetarian","2156 Windsor St, Halifax, Nova Scotia B3K 1A1"
"May Garden (Dartmouth)","4.5","Chinese","136 Portland Street, Dartmouth, NS B2Y"
"Efes Turkish Cuisine","4.6","European","5986 Spring Garden Road, Halifax, NS B3H 1Y7"
"Jessy's Pizza","New","Pizza","6041 North Street, Halifax, NAMER B3K 1P1"
"Sunrise Market (Cannon St)","4.7","Convenience","217 Cannon Street East, Hamilton, ON L8L 2A9"
"MIX+ Food Mart","4.2","Convenience","215 King Street West Hamilton, On L8p 1a7,"
"Big Bear Food Mart","4.0","American","82 Wellington Street North, Hamilton, ON L8R 1N1"
"Starbucks (112 King Street East)","4.7","Bakery","112 King Street East, Hamilton, ON L8N 1A8"
"McDonald's (675 Upper James Street)","4.4","American","675 Upper James Street, Hamilton, ON L9C 2Z5"
"Wendy's (869 Upper James Street)","4.5","Fast food","869 Upper James Street, Hamilton, ON L9C 3A3"
"Tim Horton's (80 John St)","4.7","Bakery","80 John St, Hamilton, ON L8N 2C2"
"Burger King #2426 (210 Centennial Parkway North)","4.4","American","210 Centennial Parkway North, Hamilton, ON L8E 4A1"
"7-Eleven (622 Upper Wellington St @ Brucedale)","4.5","Wings","622 Upper Wellington St @ Brucedale, Hamilton, ON L9A"
"ANYTIME CONVENIENCE","4.7","Convenience","180 Queen Street South, Hamilton, ON L8P"
"A&W (Upper James St)","4.0","Fast food","931 Upper James St, Hamilton, ON L9C 3A6"
"Subway (830 Upper James St)","4.6","American","830 Upper James St, Hamilton, ON L9C"
"Arha Variety","3.9","Burgers","527 James Street North, Hamilton, ON L8L 1J6"
"Sunset Grill (1299 Barton St.)","4.5","Breakfast and brunch","1299 Barton St., Hamilton, ON L8H 2W1"
"Jet Cafe","4.5","Coffee & tea","184 King Street East, Hamilton, ON L8N"
"Wimpy's Diner (Main Street)","4.4","Burgers","875 Main Street West, Hamilton, ON L8S 4R1"
"Canadian Tire Gas+ (1321 Barton Street E)","New","Snacks","1321 Barton Street East, Hamilton, ON L8H 2V4"
"Booster Juice (1400 Upper James Street)","5.0","Healthy","1400 Upper James Street, Hamilton, ON L9B"
"Taste of Lagos","4.0","Steak","54 James St N, Hamilton, ON L8R 2K1"
"On the Run 42366 | 1160 Fennell Ave E","New","Everyday Essentials","1160 Fennell Ave. E., HAMILTON, ON L8T 1S5"
"Golden Griddle (Hamilton)","4.8","Breakfast and brunch","1119 Fennell Ave E, Hamilton, on L8T 1S2"
"Walmart (675 Upper James St, Hamilton)","New","Grocery","675 Upper James St,  Hamilton, Toronto, Ca, L9c 2z5,"
"Hasty Market (Kenilworth Ave N)","New","Snacks","180 Kenilworth Avenue North, Hamilton, ON L8H 4S1"
"Starbucks (1260 Rymal Road East)","4.9","Cafe","1260 Rymal Road East, Hamilton, NAMER L8W 3"
"Metro (1161 Barton Street East)","4.5","Grocery","1161 Barton St E, Hamilton, ON L8H"
"Sunnyside Grill","4.7","Breakfast & Brunch","930 Upper Paradise Rd, 15, Hamilton, ON L9B 2N1"
"Cora Breakfast and Lunch (1400 Upper James St. Unit # 10)","4.1","Breakfast and brunch","1400 Upper James St. , Unit # 10, Hamilton, ON L9B"
"Denny's Canada (560 Centennial Parkway North)","4.1","Breakfast and brunch","560 Centennial Parkway North, Hamilton, ON L8E 0G2"
"Stacked Pancake & Breakfast House (Stoney Creek)","4.4","Breakfast and brunch","140 Highway 8, Stoney Creek, ON L8G 1C2"
"Paradise Grill","4.8","BBQ","930 Upper Paradise Road Hamilton, On L9B"
"Stacked Pancake & Breakfast House (McMaster)","4.4","Breakfast and brunch","1717 Main Street West Hamilton, On L8s 1g5 Canada,"
"Pür & Simple (Ancaster)","4.8","Breakfast and brunch","737 Golf Links Rd, Hamilton, ON L9K 1L5"
"Real Fruit Bubble Tea (Lime Ridge)","4.7","Bubble tea","999 Upper Wentworth Street #244, Hamilton, Ontario L8V"
"Presotea (Hamilton)","4.7","Juice & Smoothies","1037 King St W, Hamilton, ON L8S 1L6"
"Sweet Jesus (Limeridge Mall)","4.7","Ice Cream & Frozen Yogurt","999 Upper Wentworth St, Hamilton, ON L9A 4X5"
"Dairy Queen (1015 Golf Links Rd)","4.8","American","1015 Golf Links Rd, Hamilton, ON L9K"
"Marble Slab Creamery (Ancanster)","4.9","Ice cream & frozen yogurt","73 Wilson Street West, 27D, Ancaster, ON L9G"
"Little Caesars (Rymal Road)","4.8","Pizza","2273 Rymal Road, Stoney Creek, ON L8J"
"Toronto Pho (Hamilton)","4.7","Vietnamese","1070 Stone Church Road East, Unit 24, Hamilton, ON L8W 3K8"
"Cupcakes","4.9","American","1050 King Street West, Hamilton, ON L8S"
"Twins Elephants Thai","4.6","Thai","989 Fennell Ave E #29, Hamilton, On, L8t 1r1,"
"Crumbled","4.6","Dessert: Other","339 Barton St E, Hamilton, ON L8L 2X6"
"I heart Boba","4.9","Asian","80 Dundas Street East, ON L0R"
"Mahal Restaurant","4.3","Indian","527 Upper Sherman Ave, Hamilton, ON L8V 3L9"
"Arby's - Hamilton","4.2","Sandwich","1240 Rymal Road East, Hamilton, NAMER L8W 3N1"
"Hui Lau Shan 许留山 (Hamilton)","4.6","Dessert: Other","35 King St E, Hamilton, ON L8N 4A9"
"Mike's Submarines","4.9","Sandwich","1050 Upper Gage Ave Hamilton On L8v 5b7 Canada, ON L8T"
"Mr. Puffs (Barton)","4.8","Desserts","1275 Barton St E, Hamilton, ON L8H"
"The Burnt Tongue (Dundas)","5.0","Comfort food","11 King Street West, Hamilton, NAMER L9H 1T5"
"Gino's Pizza (640 Mohawk Rd W)","4.9","Pizza","640 Mohawk Rd W, 35, Hamilton, ON L9C 1X6"
"The Cheesecake Factory Bakery by Townhall","4.8","Desserts","581 Concession Street, Hamilton, L8v 1b2,"
"Pho Dui Bo (Stoney Creek)","4.7","Vietnamese","800 Queenston Road, Stoney Creek, ON L8G"
"The Hearty Hooligan","4.9","Vegan","292 Ottawa Street North, Hamilton, ON L8H"
"The Parlour Dairy Bar","4.5","Ice Cream & Frozen Yogurt","581 Concession Street, Hamilton, ON L8V 1B2"
"Beavertails (Kingston)","4.2","Desserts","20 Market Street, Kingston, ON K7L"
"La Luna (Concession Street)","4.4","Mediterranean","650 Concession Street, Hamilton, ON L8V 1B8"
"Bombay Touch","4.7","Indian","800 Queenston Road, Hamilton, ON L8G 2N4"
"Royal Pho","4.8","Asian fusion","1100 Golf Links Rd, Hamilton, NAMER L9K"
"Chef Martin Sushi","4.9","Japanese","1048 King Street West, Hamilton, NAMER L8S"
"Ajio Korean and Japanese Restaurant","4.8","Japanese","161 King Street East, Hamilton, ON L8N 1B1"
"Shehnai Restaurant","4.5","Indian","447 Main St W., Hamilton, Ontario L8P"
"Chicken Plus Hamilton","4.9","Korean","1 Wilson Street, Unit 3 Hamilton, On L8r 1c4,"
"GREENLEAF - South Indian Food, Idli, Dosa Restaurant In Hamilton","4.3","Indian","865 Upper James St #2 Hamilton On L9c 3a3 Canada, ON L9A"
"Red Maple Sushi","4.7","Sushi","2732 Barton St E 7, Hamilton, Ontario L8E 4M6"
"Indian Spice","3.9","Indian","647 Upper James Street, Hamilton, ON L9C 2Y9"
"Moghul Fine Indian Restaurant","4.6","Indian","288 Mud Street West, Hamilton, L8J"
"Tea Hut Bubble Tea Smoothies Juice & Snacks","4.6","Asian","100 Main Street East #100, Hamilton, ON L8N 3W4"
"Lotus Thai & Vietnamese Cuisine","4.6","Comfort food","280 Mud Street West, Stoney Creek, ON L8J 3Z6"
"Just Jollof","4.2","Nigerian","92-94 Jackson Street East Hamilton, On L8n 3y6 Canada,"
"Saigon House Restaurant (Hamilton)","4.8","Vietnamese","27 John Street South, Hamilton, ON L8N"
"Sweet Tooth (Hamilton)","4.3","Ice cream & frozen yogurt","15 Cannon Street East, Hamilton, ON L8L 1Z6"
"Sana Grill (Fennell Ave)","4.5","Mediterranean","989 Fennell Ave E, Hamilton, ON L8T 1R1"
"Royal Paan (Hamilton - Rymel)","4.1","Indian","30 Rymal Road East, Hamilton, ON L9B"
"Lava Pizza & Wings","4.2","Pizza","387 Barton St E , Unit 2, Hamilton, ON L8L 2Y2"
"Industria Pizzeria + Bar (Stoney Creek)","4.4","Pizza","1791 Stone Church Road East , Unit #1- Building 4, Stoney Creek, ON L8J"
"Dim Sum House","4.7","Chinese","173 King Street E, Hamilton, ON L8N 1B3"
"The Burnt Tongue (Locke)","4.9","Comfort food","182 Locke Street South, Hamilton, ON L8P 4B3"
